avis,Frekvens,postnummer, antall
32,245,1067,  1 
32,245,1069,  1 
32,245,1165,  1 
32,245,1177,  1 
32,245,1187,  1 
32,245,1258,  1 
32,245,1273,  1 
32,245,1274,  1 
32,245,1344,  1 
32,245,1349,  1 
32,245,1353,  1 
32,245,1388,  1 
32,245,1406,  1 
32,245,1410,  1 
32,245,1430,  1 
32,245,1433,  1 
32,245,1444,  1 
32,245,1452,  1 
32,245,1462,  1 
32,245,1470,  2 
32,245,1476,  1 
32,245,1673,  1 
32,245,2005,  2 
32,245,2063,  1 
32,245,2609,  1 
32,245,2615,  1 
32,245,3030,  1 
32,245,3044,  1 
32,245,3173,  1 
32,245,3738,  1 
32,245,3941,  1 
32,245,4014,  1 
32,245,4018,  1 
32,245,4025,  1 
32,245,4041,  1 
32,245,4049,  1 
32,245,4052,  2 
32,245,4053,  1 
32,245,4083,  1 
32,245,4310,  1 
32,245,4312,  1 
32,245,4316,  1 
32,245,4317,  1 
32,245,4318,  1 
32,245,4608,  1 
32,245,4629,  1 
32,245,4836,  1 
32,245,5003,  2 
32,245,5006,  1 
32,245,5008,  2 
32,245,5009,  1 
32,245,5011,  1 
32,245,5015,  2 
32,245,5019,  1 
32,245,5020,  1 
32,245,5021,  1 
32,245,5031,  1 
32,245,5033,  1 
32,245,5034,  1 
32,245,5035,  1 
32,245,5036,  1 
32,245,5037,  2 
32,245,5039,  1 
32,245,5042,  2 
32,245,5052,  1 
32,245,5053,  3 
32,245,5054,  1 
32,245,5056,  1 
32,245,5059,  1 
32,245,5063,  4 
32,245,5072,  1 
32,245,5073,  2 
32,245,5081,  1 
32,245,5093,  2 
32,245,5094,  2 
32,245,5096,  3 
32,245,5097,  4 
32,245,5098,  2 
32,245,5099,  1 
32,245,5108,  2 
32,245,5114,  1 
32,245,5115,  2 
32,245,5130,  1 
32,245,5132,  1 
32,245,5136,  1 
32,245,5141,  3 
32,245,5142,  2 
32,245,5144,  3 
32,245,5145,  4 
32,245,5148,  2 
32,245,5151,  2 
32,245,5155,  1 
32,245,5161,  1 
32,245,5162,  1 
32,245,5165,  1 
32,245,5170,  1 
32,245,5172,  1 
32,245,5174,  1 
32,245,5178,  1 
32,245,5179,  2 
32,245,5184,  2 
32,245,5200,  1 
32,245,5209,  2 
32,245,5210,  1 
32,245,5221,  5 
32,245,5225,  1 
32,245,5226,  2 
32,245,5232,  1 
32,245,5235,  1 
32,245,5236,  2 
32,245,5243,  1 
32,245,5244,  3 
32,245,5251,  2 
32,245,5254,  3 
32,245,5258,  1 
32,245,5260,  6 
32,245,5264,  1 
32,245,5268,  1 
32,245,5286,  1 
32,245,5300,  1 
32,245,5302,  1 
32,245,5303,  1 
32,245,5307,  2 
32,245,5308,  1 
32,245,5350,  1 
32,245,5360,  2 
32,245,5378,  1 
32,245,5410,  1 
32,245,5451,  1 
32,245,5453,  1 
32,245,5460,  1 
32,245,5462,  2 
32,245,5464,  1 
32,245,5527,  1 
32,245,5532,  1 
32,245,5635,  1 
32,245,5690,  1 
32,245,5700,  364 
32,245,5701,  25 
32,245,5702,  6 
32,245,5703,  5 
32,245,5704,  298 
32,245,5705,  354 
32,245,5715,  1 
32,245,5721,  1 
32,245,5724,  9 
32,245,5726,  1 
32,245,5731,  4 
32,245,5732,  7 
32,245,5733,  1 
32,245,5749,  4 
32,245,5751,  1 
32,245,5782,  2 
32,245,5786,  2 
32,245,5788,  1 
32,245,5852,  1 
32,245,5888,  1 
32,245,5911,  1 
32,245,5918,  1 
32,245,5919,  1 
32,245,5936,  1 
32,245,5943,  2 
32,245,5953,  1 
32,245,5955,  3 
32,245,5957,  1 
32,245,6402,  1 
32,245,6721,  1 
32,245,6891,  2 
32,245,7028,  1 
32,245,7058,  1 
32,245,8301,  1 
32,245,8607,  1 
2,24,121,  1 
2,24,171,  1 
2,24,272,  1 
2,24,353,  1 
2,24,372,  1 
2,24,456,  1 
2,24,468,  1 
2,24,489,  1 
2,24,491,  2 
2,24,495,  1 
2,24,557,  1 
2,24,561,  1 
2,24,580,  1 
2,24,587,  2 
2,24,590,  1 
2,24,591,  1 
2,24,592,  1 
2,24,671,  1 
2,24,673,  1 
2,24,683,  1 
2,24,684,  1 
2,24,686,  1 
2,24,687,  1 
2,24,691,  1 
2,24,692,  1 
2,24,693,  1 
2,24,765,  1 
2,24,791,  1 
2,24,852,  1 
2,24,861,  1 
2,24,870,  1 
2,24,880,  1 
2,24,882,  1 
2,24,884,  1 
2,24,957,  1 
2,24,984,  1 
2,24,1051,  1 
2,24,1061,  1 
2,24,1064,  1 
2,24,1065,  1 
2,24,1069,  1 
2,24,1181,  1 
2,24,1257,  1 
2,24,1286,  1 
2,24,1337,  1 
2,24,1344,  1 
2,24,1346,  1 
2,24,1349,  1 
2,24,1356,  1 
2,24,1357,  1 
2,24,1361,  1 
2,24,1362,  1 
2,24,1366,  1 
2,24,1367,  1 
2,24,1383,  1 
2,24,1384,  1 
2,24,1385,  1 
2,24,1387,  1 
2,24,1392,  2 
2,24,1394,  1 
2,24,1396,  1 
2,24,1404,  2 
2,24,1405,  2 
2,24,1410,  3 
2,24,1415,  1 
2,24,1416,  1 
2,24,1430,  2 
2,24,1434,  1 
2,24,1435,  1 
2,24,1450,  1 
2,24,1459,  1 
2,24,1466,  1 
2,24,1470,  1 
2,24,1473,  1 
2,24,1481,  1 
2,24,1482,  2 
2,24,1524,  1 
2,24,1553,  1 
2,24,1605,  1 
2,24,1672,  1 
2,24,1710,  1 
2,24,2003,  1 
2,24,2013,  1 
2,24,2014,  1 
